viewCount,likeCount,favoriteCount,commentCount,key,title,channel,url,date
901,2,0,0,항공 +코로나 -스포츠,"[글로벌워치] 호주 콴타스항공, 6,000명 감원…코로나 충격 심각",서울경제TV 포커스온,https://www.youtube.com/watch?v=jr6hkkPA0jY,2020-06-25
159,0,0,0,항공 +코로나 -스포츠,코로나로 취소한 여행·항공·숙박 위약금 50% 감경 / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,https://www.youtube.com/watch?v=gZV-QvfPnu0,2020-10-14
4941,222,0,13,항공 +코로나 -스포츠,동방신기의 응원 메시지가 도착하였습니다!｜ 제주항공 &quot;코로나19&quot; 극복 릴레이 응원메시지 #2,제주항공 JEJUAIR,https://www.youtube.com/watch?v=XpKAcH7iFqc,2020-04-10
71,0,0,0,항공 +코로나 -스포츠,“국내 항공 여객수 코로나 이전 수준 돌파”,서울경제TV 포커스온,https://www.youtube.com/watch?v=sayd9oODkRs,2021-04-20
628,7,0,0,항공 +코로나 -스포츠,[코로나19…시장 패닉] 차 생산 1/4 급감…항공업계 고사 직면…‘최악 위기’,서울경제TV 포커스온,https://www.youtube.com/watch?v=HWMUZ7A7RuM,2020-03-13
432,4,0,0,항공 +코로나 -스포츠,코로나에 잠자는 항공 마일리지…마트에서 쇼핑 활용 / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,https://www.youtube.com/watch?v=C6Tqhoqjq9Q,2022-01-15
443,4,0,0,항공 +코로나 -스포츠,"항공업계, 위드 코로나에 국제선 ‘날개짓’",서울경제TV 포커스온,https://www.youtube.com/watch?v=TO15-UoWEWQ,2021-11-09
512,2,0,0,항공 +코로나 -스포츠,대한항공 조종사 코로나19 확진…승무원 3명도 격리 / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,https://www.youtube.com/watch?v=aFFoFLHDrBg,2020-06-24
584,12,0,2,항공 +코로나 -스포츠,"끝없는 코로나19 &#39; 악몽&#39;...항공업계,  고용불안 고조 / 머니투데이방송 (뉴스)",MTN 머니투데이방송,https://www.youtube.com/watch?v=G7lBea5R46o,2020-11-02
431,8,0,0,항공 +코로나 -스포츠,[항공읽어주는남자] 코로나19 이후 항공수요는 어떻게 될까요? 제2편입니다!,한국교통연구원,https://www.youtube.com/watch?v=pELKsgD7Zws,2021-03-04
6578,251,0,15,항공 +코로나 -스포츠,코로나19 극복을 위한 관광·항공업계와의 대화｜국무총리 제26차 목요대화 (20.11.26.),KTV국민방송,https://www.youtube.com/watch?v=PuB-tIABz5I,2020-11-26
843,17,0,2,항공 +코로나 -스포츠,항공·정유·유통 &#39;코로나발 실적 참사&#39;…2분기는 더 암울,뉴스TVCHOSUN,https://www.youtube.com/watch?v=pgbJoj99Vb4,2020-05-15
430,5,0,5,항공 +코로나 -스포츠,&#39;코로나19 타격&#39; 항공업계 등 4천2백억 원 지원 (2020.02.17/5MBC뉴스),MBCNEWS,https://www.youtube.com/watch?v=fniRW8Q-DkE,2020-02-17
283,1,0,0,항공 +코로나 -스포츠,"대한항공, 3분기 흑자…화물매출 1조",서울경제TV 포커스온,https://www.youtube.com/watch?v=1SEqGomZMCM,2020-11-06
304,1,0,2,항공 +코로나 -스포츠,&quot;코로나19 여파 최소화&quot;…관광·외식·항공 전방위 지원 / KBS뉴스(News),KBS News,https://www.youtube.com/watch?v=QVepVPmfUl8,2020-02-17
10212,61,0,17,항공 +코로나 -스포츠,코로나19·이스타항공 파산 우려까지...군산공항 하늘 &#39;먹구름&#39; / YTN, YTN,https://www.youtube.com/watch?v=VT3-rwWWQvc,2020-08-01
407,6,0,2,항공 +코로나 -스포츠,항공업계 코로나19 직격탄…국제선 여객 96% 급감 (2020.04.06/12MBC뉴스),MBCNEWS,https://www.youtube.com/watch?v=T4EGjN8-fuM,2020-04-06
639,7,0,5,항공 +코로나 -스포츠,"항공업계, 코로나19 재확산에 &#39;침통&#39;…예약 줄취소에 국제선 재개도 찬물  / 머니투데이방송 (뉴스)",MTN 머니투데이방송,https://www.youtube.com/watch?v=gCi-r-lCTqk,2020-08-25
803,4,0,2,항공 +코로나 -스포츠,"항공업계, 코로나 여파에 내년도 국제선 30%만 운항 / 연합뉴스TV (YonhapnewsTV)",연합뉴스TV,https://www.youtube.com/watch?v=cOtpYMVBYvY,2020-12-13
714,3,0,6,항공 +코로나 -스포츠,"與, &quot;코로나19 관련, 항공·관광 추가지원&quot; / YTN", YTN,https://www.youtube.com/watch?v=r5F7QkYepcI,2020-02-13
