,viewCount,likeCount,favoriteCount,commentCount,key,title,channel,url,date
321,72920,3426,0,147,항공사+주가,"(오미주 2021.05.21) 당장 팔아버려야 할 성장주 3종목? / 캐시우드 인터뷰, 디플레이션이 오고있다 / 엔비디아 주가전망 / 테크주식에 관한 오해 /크루즈 주식전망",미국주식으로 은퇴하기 - 미주은,https://www.youtube.com/watch?v=GpRCl6zQxNQ,2021-05-21
322,207,18,0,2,항공사+주가,"애플, 내일 5G아이폰 공개..주가 영향은?",뉴스포터,https://www.youtube.com/watch?v=UU9rc1l1mOw,2020-10-13
323,3234,15,0,15,항공사+주가,"대한항공, 아시아나 품나…산은서 &#39;자금 지원&#39; 거론 / JTBC 뉴스룸",JTBC News,https://www.youtube.com/watch?v=NHyob_n2QF8,2020-11-13
324,137342,3973,0,125,항공사+주가,"당신의 뇌는 투자에 실패할 수 밖에 없도록 설계가 되어 있다?! (주식하는 마음 : 주식투자의 운과 실력, 결국은 마음이다!) [투자는 책과함께 #70-1]",삼프로TV_경제의신과함께,https://www.youtube.com/watch?v=0UBU6qGR3fg,2020-11-15
325,10242,93,0,27,항공사+주가,"공정위, 대한항공·아시아나 합병 ‘조건부 승인’ / KBS  2022.02.22.",KBS News,https://www.youtube.com/watch?v=glNpR0ABCGY,2022-02-22
326,389,40,0,0,항공사+주가,항공주를 산다면 ㅇㅇㅇ이 낫다,주식공무원 공식채널 주공tv,https://www.youtube.com/watch?v=Bc5yQU3jAOQ,2022-04-04
327,13599,113,0,119,항공사+주가,통합 전 인상?…대한항공 &#39;비상구 자리&#39; 웃돈 판매 논란 / JTBC 뉴스룸,JTBC News,https://www.youtube.com/watch?v=hWRX4X4ZnDg,2020-12-08
328,96,1,0,0,항공사+주가,지원금 없으면 LCC는 그냥 적자...항공사도 양극화/[심층분석]/한국경제TV뉴스,한국경제TV뉴스,https://www.youtube.com/watch?v=T2NLlBQMJvs,2022-04-21
329,6574,42,0,21,항공사+주가,주식 100억↑ &#39;슈퍼리치&#39; 2천800명…4명 중 1명 개인투자자 / SBS,SBS 뉴스,https://www.youtube.com/watch?v=TFPZuizVJtw,2021-04-12
330,1158,82,0,4,항공사+주가,[미국주식 Live] 아마존이 자율주행 스타트업 ZOOX를 인수한 핵심적인 이유,유에스스탁tv 유캔미,https://www.youtube.com/watch?v=wn0bwuCT5QU,2020-06-29
331,19,0,0,0,항공사+주가,대한항공 아시아나 인수 공식화…세계 10위권 항공사 탄생,소비자경제TV,https://www.youtube.com/watch?v=O-lsMz0Wy2A,2020-11-17
332,28,2,0,2,항공사+주가,[The Korea Herald] Joo Won returns with Netflix action film ‘Carter’ By Song Seung-hyun,Economic news 읽어주는 여자 이코녀,https://www.youtube.com/watch?v=aQWTdImzOMo,2022-08-03
333,105452,3196,0,320,항공사+주가,(주식)자녀에게 매달 적금처럼 차곡차곡 미국주식 사주자(2부),재테크읽어주는 파일럿,https://www.youtube.com/watch?v=rl96OR86XPo,2020-04-12
334,72,4,0,0,항공사+주가,"항공사를 산다면, 어떤 회사가 좋을까?",리치열,https://www.youtube.com/watch?v=UKutnivpj_0,2020-12-29
335,2362,13,0,1,항공사+주가,1분기에 선전한 대형 항공사...탈출구 못 찾는 LCC / YTN, YTN,https://www.youtube.com/watch?v=6nACvidOsr0,2021-05-19
336,10573,74,0,57,항공사+주가,"[ET] 대한항공, 아시아나 인수…소비자에게는 이익? 손해? / KBS뉴스(News)",KBS News,https://www.youtube.com/watch?v=XVdIN0iIMXo,2020-11-16
337,3392,19,0,23,항공사+주가,"통합 추진 잇단 반발에 산은 &quot;국적항공사, 이대로 가면 공멸&quot; / YTN", YTN,https://www.youtube.com/watch?v=c4FbSIP661E,2020-11-20
338,813,7,0,0,항공사+주가,대형 항공사도 유동성 ‘비상’…정부는 대책 고심 중 / KBS뉴스(News),KBS News,https://www.youtube.com/watch?v=eb2r2P5ge1g,2020-04-14
339,9175,,0,62,항공사+주가,대한항공 스카이트랙스 선정 ‘5성 항공사&#39; l Korean Air awarded ‘5-star airline’ by Skytrax,대한항공 (Korean Air),https://www.youtube.com/watch?v=cDs5xN6lr-Q,2020-12-15
340,6896,205,0,13,항공사+주가,8월 전략 : 불편함의 근원을 찾아서_월간투자전략_리서치세미나LIVE,깨비증권 마블TV [KB증권],https://www.youtube.com/watch?v=cM9gqrSYkaM,2021-08-03
341,90380,1067,0,241,항공사+주가,[스마트 리빙] 은행·증권사 망하면 내 예금·주식은 어떻게 될까? (2021.04.22/뉴스투데이/MBC),MBCNEWS,https://www.youtube.com/watch?v=Ysj7cnNqqRY,2021-04-22
342,5331,30,0,13,항공사+주가,"[기업] 아시아나항공, 코로나19 백신 완제품 첫 해외 수송 / YTN", YTN,https://www.youtube.com/watch?v=cgiYC0Tvbes,2020-12-29
343,100586,3058,0,123,항공사+주가,"최고실적 찍었는데 주가는 왜 떨어져요?😥 (이선엽 센터장, 알베르토 몬디) [김프로의 삼프로 상담소 Ep.63-1]",삼프로TV_경제의신과함께,https://www.youtube.com/watch?v=mL4eh0ix5bM,2022-04-16
344,569,28,0,0,항공사+주가,대한항공의 기적! 전세계 항공사 중 유일한 흑자 [광화문 비즈통신],디지틀조선TV,https://www.youtube.com/watch?v=Yc51Ubhp94k,2020-08-10
345,41,2,0,2,항공사+주가,"[한국경제] (대한항공, 제주항공, 진에어, 티웨이항공, 에어부산) 5개 항공사 시총, 코로나 이전보다 200% 늘어…&quot;대한항공 안전지대&quot; 고재연 기자",Economic news 읽어주는 여자 이코녀,https://www.youtube.com/watch?v=XeGXUHlLSLA,2022-04-03
346,715,88,0,0,항공사+주가,"[LIVE:항공사, 국가는 포기 못한다/ 금융주, 정부가 들여다 본다]#경제공부#주식투자#삼성전자#부자#돈#SK하이닉스#돈버는법#투자#보잉#대한항공#아시아나#라임#옵티머스#금융주",신의두뇌-경제TV[플러스],https://www.youtube.com/watch?v=ZnaJPem9ML8,2020-07-17
347,2145,34,0,15,항공사+주가,‘3천만 원→ 4백억 원’ 이상직 의원 아들딸의 이스타항공 재테크? / KBS뉴스(News),KBS News,https://www.youtube.com/watch?v=O9FzMoce5f0,2020-06-25
348,83435,32,0,3,항공사+주가,에어버스 날개 뼈를 우리 기업이 만든다고? 한국항공우주산업 [듣보기3],중소벤처기업부,https://www.youtube.com/watch?v=XWPBAM6vTBM,2022-11-18
349,185863,5849,0,54,항공사+주가,"대한항공-아시아나 빅딜.. 살아남기 위한 불가피한 선택인가?_오늘아침 page2_권순우, 김일혁, 염승환",삼프로TV_경제의신과함께,https://www.youtube.com/watch?v=s5kHF08Sqi4,2020-11-16
350,49207,325,0,258,항공사+주가,"대한항공, 아시아나 인수 추진 / KBS뉴스(News)",KBS News,https://www.youtube.com/watch?v=8Vw1oWrdbcc,2020-11-12
351,3832,28,0,29,항공사+주가,&quot;대한항공·아시아나항공 통합 이의&quot; 여당서 문제제기 / YTN, YTN,https://www.youtube.com/watch?v=LeOgD4C-mv4,2020-11-18
352,8516,51,0,8,항공사+주가,[글로벌 경제] 항공사 생존 위기…대량 해고·국유화 움직임 / KBS뉴스(News),KBS News,https://www.youtube.com/watch?v=767_q5lL5Ao,2020-05-14
353,3749,45,0,36,항공사+주가,‘3천만 원→ 4백억 원’ 이상직 의원 아들딸의 이스타항공 재테크? / KBS뉴스(News),KBS News,https://www.youtube.com/watch?v=gQUviE4aqSc,2020-06-25
354,232,1,0,0,항공사+주가,항공업계 고용유지지원금 종료…저비용항공사 무급휴직 / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,https://www.youtube.com/watch?v=pHiLSm_Wq4o,2021-11-01
355,64,1,0,,항공사+주가,"대한항공_코로나 이긴 유일한 항공사?, 아시아나 결합 심사 마무리, 코로나 오메가와도 끄떡없다?",고릴라투자,https://www.youtube.com/watch?v=TMBlqLLL3r8,2021-12-06
356,2506,171,0,48,항공사+주가,주식시장 ﻿글로벌 위험 요인. 개별 종목 살펴 보기,Hyam TV,https://www.youtube.com/watch?v=_m6VWWXFVUo,2021-05-12
357,2,0,0,0,항공사+주가,[ 티웨이항공 ]  &quot; 옆에 항공사는 오르는데 티웨이는 언제????  &#39;,급등시크릿TV,https://www.youtube.com/watch?v=-b3A7vkktxU,2022-05-10
358,72,8,0,4,항공사+주가,"홍콩 4개 항공사 그리기 3탄 캐세이 드래곤 (드래곤에어)✈️ (유화+아크릴화) Drawing 4 Airlines in HK, 3. Cathay Daragon(Dragon Air)",김유쾌,https://www.youtube.com/watch?v=K9mcScZqGtU,2020-11-08
359,22,0,0,0,항공사+주가,세계 10위 항공사 탄생?…독과점·특혜 논란/ 한국경제TV뉴스,한국경제TV뉴스,https://www.youtube.com/watch?v=kFs29aNqMlU,2020-11-16
360,1767,9,0,3,항공사+주가,대규모 감원 시작... 항공사 협력업체까지 도미노 / KBS뉴스(News),KBS News,https://www.youtube.com/watch?v=FrJd6Mi_Xvw,2020-04-02
361,20633,146,0,54,항공사+주가,"이스타 생환했지만, 저가항공 생존경쟁 이제 시작 / KBS 2021.06.26.",KBS News,https://www.youtube.com/watch?v=Tf7YZAzANRY,2021-06-26
362,571707,6872,0,329,항공사+주가,[FULL VER.] 기후변화가 앞으로의 주식 시장에 미칠 영향 | #미래수업 #Diggle,tvN STORY 티비엔 스토리,https://www.youtube.com/watch?v=DC0O1Mh7eSI,2020-08-25
363,47,4,0,0,항공사+주가,"홍콩국가보안법, 타이항공사 파산신청, 한진칼 경영권분쟁,  오늘의 주식뉴스_앤트맨의주식채널",앤트맨의주식채널,https://www.youtube.com/watch?v=FsGyuLOEPao,2020-05-27
364,1427,12,0,7,항공사+주가,"대한항공, 아시아나 인수 추진…“확정된 바 없다” / KBS뉴스(News)",KBS News,https://www.youtube.com/watch?v=Sg6y9TJnR7o,2020-11-13
365,29121,615,0,18,항공사+주가,"자동차 주식 V반등, 유동성 문제를 주의해라 (권순우)",삼프로TV_경제의신과함께,https://www.youtube.com/watch?v=cXJk95viPw4,2020-05-04
366,28498,2750,0,72,항공사+주가,코스닥외국인기관순매도#LG엔솔패시브자금유입#MSCI#삼성전자SK하이닉스하락#위메이드 컴투스홀딩스 #에코프로비엠급락 #현시점증시대응전략은,TV주식의 강해,https://www.youtube.com/watch?v=4LoORVpwn4A,2022-02-07
