Date,viewCount,likeCount,favoriteCount,commentCount,key,title,channel
2020-04-03,1523.0,17.0,0.0,5.0,항공 +코로나 -스포츠,[VLOG] 항공과 동기들이 만났다!!! 코로나로 미뤄진 생일파티에 공주되기 성공적(?) 👸🏻 미스대구출신👑 브이로그/모은카페/단골손님/푸를청록,챙한날
2022-02-15,12211.0,250.0,0.0,51.0,항공 +코로나 -스포츠,4. K사 터키일주 《국내선 1회》 터키 항공 10일 패키지 여행 장단점 리뷰,패키지 미리보기
2020-07-30,2377.0,49.0,0.0,19.0,항공 +코로나 -스포츠,코로나걸리면 2억준다고? 조종사가 바라보는 코로나와 항공산업.,에너지원 ENERGYWON - UDT 출신 조종사 이야기
2021-01-18,16088.0,111.0,0.0,48.0,항공 +코로나 -스포츠,코로나 시국 캐나다🇨🇦(밴쿠버)로 일하러 갑니다 / 대한항공 프레스티지석 사육,지유시간 JeeU
2021-11-02,1430.0,53.0,0.0,0.0,항공 +코로나 -스포츠,&quot;위드 코로나 시작&quot; 관련  수혜주 정리(#하나투어 #모두투어 #대한항공 #호텔신라 #롯데관광개발 #CJ CGV#무쏘TV #테마주공략 #위드코로나),무쏘TV 김실장
2021-08-30,8247.0,248.0,0.0,21.0,항공 +코로나 -스포츠,"태국 국내선 항공, 다시 열리면서 가격파괴까지! / 태국의 방역정책 위드 코로나로 가나.. / 태국의 봉쇄조치 얼마나 풀리나",코린 아시아 TV Korin Asia
2021-09-15,100.0,4.0,0.0,0.0,항공 +코로나 -스포츠,"[콕스톡][위드코로나 관련주] 호텔신라, 하이브, 대한항공, 아시아나항공, 하나투어",콕스톡TV
2021-06-03,3016.0,164.0,0.0,24.0,항공 +코로나 -스포츠,"타이항공, 7월부터 유럽발 푸켓행 직항편 개시 ! 인천발 직항도 곧 재개될 것 / 그러나 잇달아 변이를 일으키는 코로나, 태국. 인도. 베트남등 계속 초토화되는 동남아시아!",코린 아시아 TV Korin Asia
2022-08-31,645.0,8.0,0.0,1.0,항공 +코로나 -스포츠,"코로나시국 신혼여행, 에티하드항공, 기내식, 스위스여행",챜혬쀼
2021-10-22,110.0,7.0,0.0,0.0,항공 +코로나 -스포츠,"[문진석의원, 2021 국정감사] 국토교통부 종합감사 위드코로나, 항공업계 일상회복 대책필요!",문진석TV
2021-10-05,4580.0,293.0,0.0,18.0,항공 +코로나 -스포츠,"[ 위드 코로나 4인방 ] 하이브, 롯데관광개발, 하나투어, 대한항공",송재우증권TV
2020-03-13,280.0,4.0,0.0,1.0,항공 +코로나 -스포츠,유럽 코로나 상황 위기급상승!! 입국금지 인종차별 항공취소 유럽에서 고립 이탈리아 국가봉쇄 스페인 프랑스 독일 확진자 대폭증가 앞으로 유럽여행 전망 유럽에서 한국 코로나 역유입,SMPE 못하는영어 연구소
2021-09-27,373.0,10.0,0.0,4.0,항공 +코로나 -스포츠,"[9.27] 남북경협(개성공단, 송전), 제약(코로나), OTT/미디어, 항공/위성,  저출산 그외 관심 개별주 움직임 체크",306 나르샤 TV
2022-02-06,1608.0,151.0,0.0,9.0,항공 +코로나 -스포츠,위드코로나 리오프닝 대표 수혜주 / 하이트진로 제주항공 제주맥주 모두투어 차트분석 / 추적할 가치가 있는 종목 10선?,Simpler TV
2021-12-14,902.0,5.0,0.0,0.0,항공 +코로나 -스포츠,"코로나와 함께하는 유럽여행 [1 - 에티하드항공, 샤를드골공항 입국]",밍플릭스KUNO&MING
2020-06-10,184.0,11.0,0.0,4.0,항공 +코로나 -스포츠,[항공사 9년차 직장인 감성 브이로그] episode7. 코로나 장기화ㅣ항공 브이로그,에어로그
2021-09-05,64.0,5.0,0.0,3.0,항공 +코로나 -스포츠,대한항공 위드코로나 여행 일목균형표 분석,시대의창
2020-11-26,10641.0,135.0,0.0,4.0,항공 +코로나 -스포츠,[용호] 대한항공 유상증자 알아보기(코로나 피해주),주식으로 슈퍼직장인
2022-12-07,3466.0,102.0,0.0,4.0,항공 +코로나 -스포츠,"연길, 위해 항공운항 재개 , 출국 전 준비사항? ...중국, 방역완화 했지만...현지 상황 언론보도",김용필의동포세계 EKWtv
2021-10-22,280.0,5.0,0.0,1.0,항공 +코로나 -스포츠,[2021 항공직무졸업작품] (fast하게 달려가고 있는) post코로나시대의 pest분석,대림대학교 항공서비스과
2020-11-09,468.0,13.0,0.0,3.0,항공 +코로나 -스포츠,인하공전 항공과 2021학번 수시1차 기출_코로나/시사/롤플,코어인터뷰
2022-09-17,7245.0,106.0,0.0,40.0,항공 +코로나 -스포츠,"티웨이항공 괌 탑승기 🏝️ 아기들이 운다고?! 😭 의외로 평온했던 괌까지 비행기 코로나 이후 가는 괌 항공편, 비상구석, 그리고 티웨이 기내식까지 정복!",손놈김길수 : 셀카없는 항공 호텔리뷰
2021-03-22,8494.0,54.0,0.0,18.0,항공 +코로나 -스포츠,[쏘노지] 코로나 시기에 대한항공 일등석 코스모스위트 2.0 타고 LA 엘에이 가기 / Korean Air First Class / 퍼스트클래스,Sono Jee 쏘노지
2020-11-16,3474.0,489.0,0.0,38.0,항공 +코로나 -스포츠,"1. 코로나 백신 개발되도 안 끝난다 / 2. 대한항공은 되고 배달의 민족은 안돼! [김준일의 팩트카페] 김준일, 선정수 2020.11.16.",뉴스톱TV
2022-08-14,18345.0,117.0,0.0,32.0,항공 +코로나 -스포츠,비엣젯항공 좌석 / 부산 베트남 다낭 여행 VJ993편 / VJ992편  저가항공 비행기 항공권 A321 비상구 탑승기/ 기내식 수화물 / 김해 공항 비지니스 라운지,여행도 열심히 (N잡러)
2021-09-01,11907.0,,0.0,53.0,항공 +코로나 -스포츠,"괌일상 VLOG 🇺🇸🇬🇺 | 대한항공 일등석 타고 괌으로! 22개월 아기와 심장 쫄깃한 비행 브이로그, KAL 라운지, 인천공항 코로나 검사센터(PCR)",몽몽 mongmong
2020-05-22,2420.0,25.0,0.0,16.0,항공 +코로나 -스포츠,🇰🇷🇺🇸 뉴욕에서 한국으로 직항 귀국 VLOG / 대한항공 / 인천공항 해외입국자 절차 / 코로나 자가격리,SOWHY
2020-11-11,1023.0,12.0,0.0,0.0,항공 +코로나 -스포츠,[VLOG]대면 개강_중원대학교 항공서비스학과 | 대면 수업 | 코로나 극복,중원대학교 항공서비스학과
2020-04-12,2503.0,27.0,0.0,5.0,항공 +코로나 -스포츠,(항공교신) &#39;세계에서 가장 큰 비행기&#39; 러시아 공군 수송기로 배송된 코로나19 진단키트 l COVID-19,위티비 : 항공교신 채널
2022-06-18,9447.0,54.0,0.0,3.0,항공 +코로나 -스포츠,인천 공항 라운지 비교ㅣ마티나 라운지 vs. 대한항공 프레스티지 라운지,디제이썬 DJSUN
2021-06-23,694.0,91.0,0.0,0.0,항공 +코로나 -스포츠,두바이코리아TV:Covid19현황(GCC)항공관련/코로나관련_Dubai KoreaTV#두바이​​​​​​#uae​​​​​​#dubai​​​​​​#아부다비​​​​​​#abudhabi,두바이 코리아 TV
2020-07-04,3863.0,22.0,0.0,2.0,항공 +코로나 -스포츠,[유나이티드 항공] 보잉 787-9/이코노미플러스 후기!!(인천-샌프란시스코) # unitedairlines  #Boeing787-9 #SanFrancisco,샘찌와 떠나는 여행
2022-12-31,120907.0,2185.0,0.0,157.0,항공 +코로나 -스포츠,우주다큐 4편 - 보이지 않지만 분명히 존재하는 암흑물질 / 110억 년 전 초기 우주 초신성 포착,우주아저씨
2020-04-07,946.0,23.0,0.0,11.0,항공 +코로나 -스포츠,"미국 ETF 종류 추천 , 항공 우주 방산주 ITA,  ETF 코로나 회복 관련주",미국주식 황금열쇠
2020-11-16,5.0,0.0,0.0,0.0,항공 +코로나 -스포츠,"20.11.17(화) 중앙일보 1면-코로나발 항공 빅뱅, 세계 7위 국적사 뜬다",매일 2분 뉴스
2020-03-01,71.0,3.0,0.0,0.0,항공 +코로나 -스포츠,코로나19 드론 항공방역,낭만쉐프황사부
2020-03-05,361.0,14.0,0.0,14.0,항공 +코로나 -스포츠,Daily life in 코로나 (항공과 브이로그 / 일상 / 홈베이킹 / 운전면허 / 망원동 투어),yewon.C 예원
2020-07-31,41807.0,489.0,0.0,61.0,항공 +코로나 -스포츠,8월 파산설 베트남 항공!!! 축배 들던 우리은행 어쩌나??? 코로나 항공산업 악화로 항공사 정부 지원 되나???,굿모닝베트남
